Date,Description,Type,Amount,Current balance,Status
2026-03-21,CIRCLE K # 02440 3211,DEBIT_CARD,-7.85,-45.09,Posted
2026-03-20,CIRCLE K # 02440 3211,DEBIT_CARD,-0.85,-37.24,Posted
2026-03-20,BURGER KING #22721,DEBIT_CARD,-26.66,-36.39,Posted
2026-03-20,365 MARKET  888 432-32,DEBIT_CARD,-1.52,-9.73,Posted
2026-03-20,TACO BELL 733945,DEBIT_CARD,-64.66,-8.21,Posted
2026-03-19,McDonalds 7496,DEBIT_CARD,-35.22,56.45,Posted
2026-03-18,CIRCLE K # 02440 3211,DEBIT_CARD,-0.85,91.67,Posted
2026-03-18,CIRCLE K # 02440 3211,DEBIT_CARD,-1.69,92.52,Posted
2026-03-17,CIRCLE K # 02440 3211,DEBIT_CARD,-4.04,94.21,Posted
2026-03-17,ZORN AVE VALERO,DEBIT_CARD,-50.87,98.25,Posted
2026-03-17,FAT RABBIT THRIFT & VI,DEBIT_CARD,-36.00,149.12,Posted
2026-03-17,The Wishing Well Thrif,DEBIT_CARD,-13.35,185.12,Posted
2026-03-17,GOODWILL STORE 69,DEBIT_CARD,-12.81,198.47,Posted
2026-03-17,MARCOS PIZZA - 3698,DEBIT_CARD,-50.57,211.28,Posted
2026-03-17,IN403 - JEFFERSONVILLE,DEBIT_CARD,-10.00,261.85,Posted
2026-03-17,Subway 26232,DEBIT_CARD,-39.01,271.85,Posted
2026-03-16,CIRCLE K # 02440 3211,DEBIT_CARD,-6.40,310.86,Posted
2026-03-16,CIRCLE K # 02440 3211,DEBIT_CARD,-18.99,317.26,Posted
2026-03-16,ZAXBY'S #60401,DEBIT_CARD,-35.81,336.25,Posted
2026-03-16,DUKEENERGYCORPOR,DIRECT_PAY,-760,372.06,Posted
2026-03-15,SP NOBS ROUTINES,DEBIT_CARD,-23.54,1132.06,Posted
2026-03-15,AMERICAN WATER WORKS C,DEBIT_CARD,-128.19,1155.6,Posted
2026-03-15,Audible,DEBIT_CARD,-16.84,1283.79,Posted
2026-03-15,VENMO *ADD FUNDS,DEBIT_CARD,-100.00,1300.63,Posted
2026-03-15,AMAZON MARKETPLACE,DEBIT_CARD,-188.15,1400.63,Posted
2026-03-15,AMAZON MARKETPLACE,DEBIT_CARD,-296.52,1588.78,Posted
2026-03-15,MIDJOURNEY INC.,DEBIT_CARD,-10.00,1885.3,Posted
2026-03-15,DD *ARBYS,DEBIT_CARD,-42.15,1895.3,Posted
2026-03-15,CITY OF JEFFERSONVILLE,DEBIT_CARD,-82.80,1937.45,Posted
2026-03-15,AMAZON RETAIL,DEBIT_CARD,-18.68,2020.25,Posted
2026-03-15,AMAZON RETAIL,DEBIT_CARD,-26.97,2038.93,Posted
2026-03-15,A.Z. Pharmacy LLC,DEBIT_CARD,-1.63,2065.9,Posted
2026-03-15,A.Z. Pharmacy LLC,DEBIT_CARD,-0.42,2067.53,Posted
2026-03-15,AMZNPharma,DEBIT_CARD,-25.00,2067.95,Posted
2026-03-15,Audible,DEBIT_CARD,-16.00,2092.95,Posted
2026-03-14,KROGER #776 1027 JEFFER,DEBIT_CARD,-4.27,2108.95,Posted
2026-03-14,CIRCLE K # 02440 3211,DEBIT_CARD,-7.12,2113.22,Posted
2026-03-14,KROGER #776,DEBIT_CARD,-47.52,2120.34,Posted
2026-03-14,TACO BELL 733945,DEBIT_CARD,-46.27,2167.86,Posted
2026-03-14,Spectrum Mobile,DEBIT_CARD,-183.33,2214.13,Posted
2026-03-14,CASH APP*TYLER CONLEY,DEBIT_CARD,-100.00,2397.46,Posted
2026-03-14,CASH APP*TYLER CONLEY,DEBIT_CARD,-15.00,2497.46,Posted
2026-03-14,CASH APP*RENEE SHELTON,DEBIT_CARD,-120.00,2512.46,Posted
2026-03-13,ZORN AVE VALERO,DEBIT_CARD,-50.87,2632.46,Posted
2026-03-13,KROGER #776,DEBIT_CARD,-50.65,2683.33,Posted
2026-03-13,KROGER #776,DEBIT_CARD,-16.04,2733.98,Posted
2026-03-13,CIRCLE K # 02440 3211,DEBIT_CARD,-15.00,2750.02,Posted
2026-03-13,365 MARKET  888 432-32,DEBIT_CARD,-2.48,2765.02,Posted
2026-03-13,365 MARKET  888 432-32,DEBIT_CARD,-5.08,2767.5,Posted
2026-03-13,PANDA EXPRESS #3767P,DEBIT_CARD,-49.22,2772.58,Posted
2026-03-13,365 MARKET  888 432-32,DEBIT_CARD,-1.52,2821.8,Posted
2026-03-13,CIRCLE K # 02440 3211,DEBIT_CARD,-19.86,2823.32,Posted
2026-03-13,Money Promo Bonus,BONUS,300,2843.18,Posted
2026-03-12,To New Vacuum  Vault,WITHDRAWAL,-50.00,2543.18,Posted
2026-03-12,CRUNCHTIME INFOR,DIRECT_DEPOSIT,2527.88,2593.18,Posted
2026-03-12,CIRCLE K # 02440 3211,DEBIT_CARD,-13.65,65.3,Posted
2026-03-12,Miscellaneous Credit,OTHER,6.32,78.95,Posted
2026-03-11,CIRCLE K # 02440 3211,DEBIT_CARD,-12.69,72.63,Posted
2026-03-11,CIRCLE K # 02440 3211,DEBIT_CARD,-4.69,85.32,Posted
2026-03-11,KROGER #776 1027 JEFFER,DEBIT_CARD,-4.64,90.01,Posted
2026-03-11,KROGER #776,DEBIT_CARD,-9.62,94.65,Posted
2026-03-11,ZORN AVE VALERO,DEBIT_CARD,-21.16,104.27,Posted
2026-03-11,CIRCLE K # 02440 3211,DEBIT_CARD,-5.53,125.43,Posted
2026-03-09,CIRCLE K # 02440 3211,DEBIT_CARD,-0.85,130.96,Posted
2026-03-08,CIRCLE K # 02440 3211,DEBIT_CARD,-1.69,131.81,Posted
2026-03-06,CIRCLE K # 02440 3211,DEBIT_CARD,-9.92,133.5,Posted
2026-03-06,CIRCLE K # 02440 3211,DEBIT_CARD,-17.3,143.42,Posted
2026-03-06,Subway 26232,DEBIT_CARD,-28.23,160.72,Posted
2026-03-06,365 MARKET  888 432-32,DEBIT_CARD,-1.52,188.95,Posted
2026-03-05,CIRCLE K # 02440 3211,DEBIT_CARD,-16.46,190.47,Posted
2026-03-05,DD *WENDYS,DEBIT_CARD,-22.52,206.93,Posted
2026-03-04,KROGER #776,DEBIT_CARD,-14.9,229.45,Posted
2026-03-04,ZORN AVE VALERO,DEBIT_CARD,-21.16,244.35,Posted
2026-03-04,TACO BELL 733945,DEBIT_CARD,-19.33,265.51,Posted
2026-03-03,CIRCLE K # 02440 3211,DEBIT_CARD,-21.99,284.84,Posted
2026-03-03,CIRCLE K # 02440 3211,DEBIT_CARD,-5.14,306.83,Posted
2026-03-03,The Wishing Well Thrif,DEBIT_CARD,-8.90,311.97,Posted
2026-03-03,CHICK-FIL-A #04264,DEBIT_CARD,-9.41,320.87,Posted
2026-03-03,CLAUDE.AI SUBSCRIPTION,DEBIT_CARD,-20.00,330.28,Posted
2026-03-03,CASH APP*TYLER CONLEY,DEBIT_CARD,-20.00,350.28,Posted
2026-03-02,CIRCLE K # 02440 3211,DEBIT_CARD,-3.51,370.28,Posted
2026-03-02,From Savings - 3080,DEPOSIT,4.00,373.79,Posted
2026-03-02,From Checking - 8642,DEPOSIT,0.08,369.79,Posted
2026-03-02,From New Vacuum  Vault,DEPOSIT,50.02,369.71,Posted
2026-03-02,McDonalds 7496,DEBIT_CARD,-24.39,319.69,Posted
2026-03-02,ZAXBY'S #60401,DEBIT_CARD,-23.95,344.08,Posted
2026-03-02,PANDA EXPRESS #3767P,DEBIT_CARD,-47.62,368.03,Posted
2026-03-02,DD *DOORDASH TUMBLEWEE,DEBIT_CARD,-43.52,415.65,Posted
2026-03-02,SOFI PLUS,DEPOSIT,6.33,459.17,Posted
2026-03-01,ALDI 44034,DEBIT_CARD,-36.23,452.84,Posted
2026-03-01,QDOBA 3044 OLO,DEBIT_CARD,-49.02,489.07,Posted
2026-03-01,OPENAI *CHATGPT SUBSCR,DEBIT_CARD,-20.00,538.09,Posted
2026-03-01,MOBY DICK SEAFOOD,DEBIT_CARD,-19.17,558.09,Posted
2026-03-01,JAGGERS #2881 OLO,DEBIT_CARD,-15.07,577.26,Posted
2026-03-01,Spectrum,DEBIT_CARD,-44.99,592.33,Posted
2026-03-01,GOOGLE *Golf Battle,DEBIT_CARD,-4.22,637.32,Posted
2026-03-01,MCALISTER'S 102221,DEBIT_CARD,-25.31,641.54,Posted
2026-02-28,Interest earned,INTEREST_EARNED,0.06,666.85,Posted
2026-02-28,CIRCLE K # 02440 3211,DEBIT_CARD,-1.69,666.79,Posted
2026-02-28,ZORN AVE VALERO,DEBIT_CARD,-50.87,668.48,Posted
2026-02-27,KROGER #776,DEBIT_CARD,-15.69,719.35,Posted
2026-02-27,KROGER #776,DEBIT_CARD,-31.02,735.04,Posted
2026-02-27,CIRCLE K # 02440 3211,DEBIT_CARD,-23.08,766.06,Posted
2026-02-27,NEWREZ-SHELLPOIN,DIRECT_PAY,-1676.64,789.14,Posted
2026-02-27,To Checking - 8642,WITHDRAWAL,-40.00,2465.78,Posted
2026-02-27,CIRCLE K # 02440 3211,DEBIT_CARD,-23.30,2505.78,Posted
2026-02-26,CIRCLE K # 02440 3211,DEBIT_CARD,-19.87,2529.08,Posted
2026-02-26,To New Vacuum  Vault,WITHDRAWAL,-50.00,2548.95,Posted
2026-02-26,CRUNCHTIME INFOR,DIRECT_DEPOSIT,2595.94,2598.95,Posted
2026-02-26,CIRCLE K # 02440 3211,DEBIT_CARD,-4.14,3.01,Posted
2026-02-26,CIRCLE K # 02440 3211,DEBIT_CARD,-1.69,7.15,Posted
2026-02-25,ALDI 44034,DEBIT_CARD,-14.48,8.84,Posted
2026-02-24,ZORN AVE VALERO,DEBIT_CARD,-21.16,23.32,Posted
2026-02-24,SoFi Rewards Redemption,OTHER,5.00,44.48,Posted
